id,difficulty,sentence
3,A1,"Ce n'est pas étonnant, car c'est une saison mystérieuse"
4,C2,"Le corps de Golo lui-même, d'une essence aussi surnaturelle que celui de sa monture, s'arrangeait de tout obstacle matériel, de tout objet gênant qu'il rencontrait en le prenant comme ossature et en se le rendant intérieur, fût-ce le bouton de la porte sur lequel s'adaptait aussitôt et surnageait invinciblement sa robe rouge ou sa figure pâle toujours aussi noble et aussi mélancolique, mais qui ne laissait paraître aucun trouble de cette transvertébration."
9,A1,"Je ne peux pas vous laisser dire cela, Madame."
10,A1,Est-ce que ça suffit?
12,B2,"Pourtant, sur cette distance, le vélo est le mode de transport le plus performant en milieu urbain et semi-urbain."
14,A1,Un enfant est drôle.
17,A1,Je dois acheter un tube de peinture bleue pour finir ce tableau.
19,A1,"Elle a trois enfants, deux garçons et une fille."
20,C2,"Et, dans le mirage confus où s'égaraient ses espérances, espérances de grandeur, de succès, de renommée, de fortune et d'amour, il aperçut tout à coup, pareille à ces guirlandes de figurantes qui se déroulent dans le ciel des apothéoses, une procession de femmes élégantes, riches, puissantes, qui passaient en souriant pour disparaître l'une après l'autre au fond du nuage doré de ses rêves."
25,C2,"L'homme fait regarder son sexe comme un symbole de transcendance et de puissance il en tire vanitécomme d'un muscle strié et en même temps comme d'une grâce magique : c'est une liberté riche de toute la contingence du donné, un donné librement voulu ; c'est sous cet aspect contradictoire qu'il s'en enchante ; mais il en soupçonne le leurre ; cet organe par lequel il prétend s'affirmer ne lui obéit pas ; lourd de désirs inassouvis, s'érigeant inopinément, parfois se soulageant en rêve, il manifeste une vitalité suspecte et capricieuse."
27,A1,Il est 17h
32,A1,"Excusez-moi, je me suis perdu. Pouvez-vous m'aider ?"
33,A1,Mais le monde ne fonctionne pas toujours ainsi.
36,B2,"Le plasma ainsi conservé ne pourra être utilisé que lorsque le deuxième don du donneur, quatre mois après le premier, n'aura révélé aucun marqueur infectieux."
48,A1,Quelle est la date du mariage ?
51,A1,"Ici, c'est mon bureau."
52,B2,"Finalement, Halloween aura mis une vingtaine d'années pour s'imposer et trouver sa place dans la société française"
54,A1,Et toi ?
56,B2,"Loin de l'effervescence des cuisines, notre chef retrouve Maggie Chaulet, la créatrice et propriétaire du jardin tropical qui abrite son restaurant"
65,B2,Les français sont attachés à leur pause dominicale.
72,B2,Les femmes scientifiques peinent à être reconnues socialement.
87,B2,Ce qui entraîne donc une capacité à apprendre les langues étrangères
90,C2,"Asiles, fermes, bistrots, musées s'entrecroisent, dans un mouvement de balancier entre des descriptions sordides et des périodes plus apaisées, fournies par une journée réussie de mendicité ou les excentricités du poète anarchiste Emil Szittya, rencontré à Stuttgart."
96,A1,La fée est réapparue une deuxième fois dans la forêt.
99,C2,"Toutes ces raisons font que le bilinguisme breton-français me paraît particulièrement défendable ici, sans compter les avantages que j'ai mentionnés pour un enfant qui commence très tôt son immersion dans une grande et belle langue celtique"
100,B2,Cette option ferait partie des pistes du rapport sur l'avenir des retraites qui doit être officiellement remis la semaine prochaine et sur lequel va s'appuyer le gouvernement pour sa réforme prévue d'ici la fin de l'année
102,A1,Je m'inquiète beaucoup pour notre relation.
110,B2,La prise en compte de ces exigences nécessitera de construire de nouvelles infrastructures.
111,A1,La plage est pleine de Marseillais et de touristes
113,B2,Ces avantages en font une solution technique séduisante ; il trouve une large gamme d'applications dans tous les domaines des transports.
114,C2,"L'apprentissage du code, et plus largement d'une culture générale du numérique, à l'école est une mesure réclamée depuis longtemps par l'Académie des sciences, soutenue par des acteurs qui comptent dans le secteur numérique."
119,B2,"Les grands ports, comme Liverpool, Hambourg, Bordeaux et Marseille, sont eux aussi des centres culturels et intellectuels."
120,A1,Je me prèpare d'abord et je prends mon petit déjeuner ensuite.
140,A1,Je ne cherche pas quelque chose de précis
142,C2,"Concentrés toute l'année sur les résultats scolaires de leurs enfants, les parents ne sont pas prêts à laisser les bains de mer ou de soleil délaver les tables de multiplication, les plus-que-parfait de l'indicatif et autres théorèmes de géométrie si chèrement acquis."
143,C2,"Car souvent dans l'une on trouve égaré un jour d'une autre, qui nous y fait vivre, en évoque aussitôt, en fait désirer les plaisirs particuliers et interrompt les rêves que nous étions en train de faire, en plaçant plus tôt ou plus tard qu'à son tour ce feuillet détaché d'un autre chapitre, dans le calendrier interpolé du bonheur ; mais bientôt, comme ces phénomènes naturels dont notre confort ou notre santé ne peuvent tirer qu'un bénéfice accidentel et assez mince jusqu'au jour où la science s'empare d'eux et, les produisant à volonté, remet en nos mains la possibilité de leur apparition, soustraite à la tutelle et dispensée de l'agrément du hasard, de même la production de ces rêves d'Atlantique et d'Italie cessa d'être soumise uniquement aux changements des saisons et du temps."
146,A1,Je te quitte pour aller travailler. Bonne visite.
150,B2,"Emus, les journalistes ont suggéré l'idée de célébrer les mères en Egypte, puis la fête s'est propagée vers d'autres pays arabes."
157,A1,Ce qui est faux.
158,A1,Tu es vraiment la bienvenue.
159,A1,"Comme c'est proche de la maison, je peux y aller à pied, c'est très agréable"
161,A1,Vous rentrez à quelle heure ?
162,B2,"La plupart du temps vous êtes à la maison, donc les suites des interventions sont beaucoup plus faciles"
166,A1,Julie est à Lausanne pour un mois.
172,A1,D'où viens-tu ?
182,B2,"Les passants semblent moins pressés, et s'attardent plus facilement devant une devanture ou dans les rayons"
184,B2,"Pour ses défenseurs, le projet pourrait permettre d'adapter les pratiques scolaires au monde professionnel."
190,A1,Nous écoutons de la musique.
193,B2,"Par ailleurs, Yolande, qui habite à Paris, nous explique que son quotidien est devenu très difficile en raison des locations saisonnières : Les arrivées et départs à n'importe quelle heure de la journée, les fêtes toute la nuit, les groupes de touristes qui envahissent le hall de l'immeuble avec leurs valises."
200,B2,Les Inuits espèrent pouvoir s'appuyer sur un rapport qui sera remis en septembre 2004 aux huit pays du Conseil de l'Arctique.
205,A1,"Son mari, lui, n'aime pas beaucoup la mer"
208,A1,J'aime bien ce film de 1964 parce que j'aime bien les comédies
209,A1,Es-tu prêt?
211,A1,"Je suis une fille, je suis française et j'ai treize ans"
